"","id","choiceNum","candNum","college","exp","job","photo","preference","Y"
"82","R_1Cd66EQK0hVlWNc","1","2","Boston University","7","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea",2,1
"83","R_1Cd66EQK0hVlWNc","2","1","University of California, Berkeley","5","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE",1,1
"84","R_1Cd66EQK0hVlWNc","2","2","University of San Diego","6","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JRdYUkB2u7dLh4",1,0
"85","R_1Cd66EQK0hVlWNc","3","1","Stanford University","7","Consultant","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i",2,0
"86","R_1Cd66EQK0hVlWNc","3","2","Stanford University","5","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM",2,1
"87","R_1Cd66EQK0hVlWNc","4","1","University of San Diego","5","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_8kY19UVhHc35c90",2,0
"88","R_1Cd66EQK0hVlWNc","4","2","University of San Diego","5","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo",2,1
"89","R_1Cd66EQK0hVlWNc","5","1","Stanford University","5","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI",2,0
"90","R_1Cd66EQK0hVlWNc","5","2","University of San Diego","6","Consultant","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y",2,1
"91","R_1CDP5vAezuGORm7","1","1","Virginia Tech","5","Consultant","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE",1,1
"92","R_1CDP5vAezuGORm7","1","2","University of California, Berkeley","5","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa",1,0
"93","R_1CDP5vAezuGORm7","2","1","Boston University","7","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i",2,0
"94","R_1CDP5vAezuGORm7","2","2","George Washington University","5","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo",2,1
"95","R_1CDP5vAezuGORm7","3","1","University of San Diego","6","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i",2,0
"96","R_1CDP5vAezuGORm7","3","2","George Washington University","7","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_8kY19UVhHc35c90",2,1
"97","R_1CDP5vAezuGORm7","4","1","Stanford University","5","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i",2,0
"98","R_1CDP5vAezuGORm7","4","2","Boston University","5","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G",2,1
"99","R_1CDP5vAezuGORm7","5","1","Stanford University","5","Consultant","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i",2,0
"100","R_1CDP5vAezuGORm7","5","2","George Washington University","6","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI",2,1
